05,FONTE,TÍTULO,CATEGORIA,MUNICÍPIO,BAIRRO,REGIÃO - ZONA,LINK,OPERADOR,Coluna 1,Coluna 2
20/02/2025,App VIU,Presença policial na comunidade do Cangulo. A operação está ocorrendo sem relatos de disparos até agora. evite essa região.        ,Operações policiais,Rio de Janeiro,Duque de Caxias,Baixada Fluminense,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
20/02/2025,App VIU,"Muitos Tiros estão sendo ouvidos na Rua Ourique, Brás de Pina. Se for possível, afasta-se desse local para sua segurança.        ",Operações policiais,Rio de Janeiro,Brás de Pina,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Heitor,,
20/02/2025,App VIU,Supermercado em chamas próximo da Estr. Miguel Salazar. Evite esta região.        ,Incêndios Acidentais e causados,Rio de Janeiro,Cidade de Deus,ZONA OESTE,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Letícia,,
21/02/2025,X,"Há operação policial no Conjunto do IPASE e no Morro do Trem, na Vila Kosmos. Houve registro de tiros no IPASE às 5h40 e 6h.",Operações policiais,Rio de Janeiro,Vila Kosmos,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
21/02/2025,X,"Tiros na Vila do João, no Complexo da Maré. ",Tiroteio,Rio de Janeiro,Maré,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
21/02/2025,X,"Tiros na Penha, no morro da Caixa D'água e morro do Sereno.",Tiroteio,Rio de Janeiro,Penha,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
21/02/2025,X,"Tiros em Cavalcanti, no final da Rua Laurindo Filho.",Tiroteio,Rio de Janeiro,Cavalcanti,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
21/02/2025,Whatsapp  Só Fiel,Um acidente envolvendo um VLT e um carro causam retenções. Evite esta região.,Interdição por ocorrência,Rio de Janeiro,,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Luis,,
21/02/2025,Whatsapp Só Fiel,Tiros no Morro do Quitungo.,Tiroteio,Rio de Janeiro,Brás de Pina,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Luis,,
21/02/2025,Whatsapp Só Fiel,"Moradores relatam intenso tiroteio nas imediações da Comunidade Morro da Fé, na Penha. ",Tiroteio,Rio de Janeiro,Penha,Zona Norte,https://docs.google.com/spreadsheets/d/1zeyKBgXqWyR_VMIHxIAM_lNHc41uSLicgVlhPhc70Os/edit?usp=drive_link,Josniel,,
